,file,Quantile,Quantile_Probabilistique,Otsu,2sigma,ksigma,Ajust. 2sigma,Ajust. Quantile,POT
0,ETC_Qboard_results/ETC_nq30_iahead2_ncl5_thbounds0.parquet,0.5525170219890613,0.5525170219890613,0.6872317955936119,0.566590189009068,0.6213630535555775,0.6520479090517826,0.5254396248534584,0.5519168436347378
1,ETC_Qboard_results/ETC_nq15_iahead2_ncl20_thbounds0.parquet,0.279926896131587,0.2786585365853659,0.5922975377145656,0.3434516175003563,0.4485074626865672,0.5468873927780218,0.28071243720505407,0.2527626459143969
2,ETC_Qboard_results/ETC_nq15_iahead10_ncl5_thbounds1.parquet,0.8433179723502304,0.8411948104193907,0.8005881205843021,0.8461841845789785,0.8391391573955864,0.8145753174974976,0.8229665071770335,0.8379118094272682
3,ETC_Qboard_results/ETC_nq30_iahead2_ncl3_thbounds0.parquet,0.5525170219890613,0.5525170219890613,0.6872317955936119,0.566590189009068,0.6213630535555775,0.6520479090517826,0.5254396248534584,0.5519168436347378
4,ETC_Qboard_results/ETC_nq20_iahead10_ncl10_thbounds0.parquet,0.8344113842173352,0.8345230369889681,0.7777609612303649,0.8344789151031023,0.8228521587440034,0.80324274521772,0.8348453990001852,0.8344014117209992
5,ETC_Qboard_results/ETC_nq5_iahead2_ncl5_thbounds0.parquet,0.006999447412046418,0.004798818752307124,0.6199235112001457,0.035315315315315315,0.21775801257475846,0.0051660516605166054,0.0,0.005900792919048497
6,ETC_Qboard_results/ETC_nq15_iahead20_ncl20_thbounds1.parquet,0.8453374549201442,0.8413621262458472,0.8126447255883482,0.8581335446800079,0.8497798972853998,0.8279982927870253,0.8436048312170951,0.8407272727272728
7,ETC_Qboard_results/ETC_nq15_iahead10_ncl10_thbounds1.parquet,0.8433179723502304,0.8411948104193907,0.8005881205843021,0.8461841845789785,0.8391391573955864,0.8145753174974976,0.8229665071770335,0.8379118094272682
8,ETC_Qboard_results/ETC_nq10_iahead2_ncl3_thbounds0.parquet,0.11187136503592199,0.11187136503592199,0.5515964792856929,0.18914579319203598,0.36375749500333115,0.11596180081855387,0.021552511415525114,0.10874785591766724
9,ETC_Qboard_results/ETC_nq30_iahead20_ncl10_thbounds1.parquet,0.8245811343250683,0.824837727592953,0.7771161927266037,0.8271341753359497,0.8115832289911197,0.7912802573733456,0.8245518367865027,0.8250257820556892
10,ETC_Qboard_results/ETC_nq30_iahead20_ncl3_thbounds1.parquet,0.8245811343250683,0.824837727592953,0.7771161927266037,0.8271341753359497,0.8115832289911197,0.7912802573733456,0.8245518367865027,0.8250257820556892
11,ETC_Qboard_results/ETC_nq3_iahead2_ncl20_thbounds0.parquet,0.001479563528759016,0.0007403294466037385,0.6326022665066943,0.06862915868315625,0.18553164951668225,0.0620834794808839,0.0,0.0014792899408284023
12,ETC_Qboard_results/ETC_nq30_iahead2_ncl10_thbounds1.parquet,0.5525170219890613,0.5525170219890613,0.6872317955936119,0.566590189009068,0.6213630535555775,0.6520479090517826,0.5254396248534584,0.5519168436347378
13,ETC_Qboard_results/ETC_nq10_iahead2_ncl10_thbounds0.parquet,0.11187136503592199,0.11187136503592199,0.5515964792856929,0.18914579319203598,0.36375749500333115,0.11596180081855387,0.021552511415525114,0.10874785591766724
14,ETC_Qboard_results/ETC_nq3_iahead10_ncl5_thbounds0.parquet,0.15931914893617022,0.1590870379833078,0.5761471957437375,0.3364569388665774,0.47286226318484387,0.5726381461675579,0.17237308146399055,0.11649808161841646
15,ETC_Qboard_results/ETC_nq3_iahead2_ncl3_thbounds1.parquet,0.001479563528759016,0.0007403294466037385,0.6326022665066943,0.06862915868315625,0.18553164951668225,0.0620834794808839,0.0,0.0014792899408284023
16,ETC_Qboard_results/ETC_nq3_iahead10_ncl20_thbounds1.parquet,0.15900578821927136,0.1587734241908007,0.5763087843833186,0.3374962830805828,0.47292280117782615,0.5732101102327135,0.17175636915809012,0.11584089323098395
17,ETC_Qboard_results/ETC_nq15_iahead2_ncl5_thbounds0.parquet,0.279926896131587,0.2786585365853659,0.5922975377145656,0.3434516175003563,0.4485074626865672,0.5468873927780218,0.28071243720505407,0.2527626459143969
18,ETC_Qboard_results/ETC_nq20_iahead2_ncl10_thbounds0.parquet,0.387609649122807,0.3810049696300386,0.6269084481896064,0.43712884069197006,0.5314401622718052,0.5982638968598631,0.37783933518005536,0.3758501040943789
19,ETC_Qboard_results/ETC_nq20_iahead20_ncl5_thbounds1.parquet,0.8548217528433527,0.8544376434583014,0.8003793266951164,0.8568468638161613,0.8418551438880576,0.81870765162783,0.8478926068502617,0.8528075770754808
20,ETC_Qboard_results/ETC_nq10_iahead2_ncl5_thbounds0.parquet,0.11187136503592199,0.11187136503592199,0.5515964792856929,0.18914579319203598,0.36375749500333115,0.11596180081855387,0.021552511415525114,0.10874785591766724
21,ETC_Qboard_results/ETC_nq50_iahead20_ncl10_thbounds0.parquet,0.7591437848927474,0.7591990959556255,0.749378774517711,0.762212675819771,0.7576465847561854,0.7527458212487054,0.7590884818886005,0.7594204208296924
22,ETC_Qboard_results/ETC_nq15_iahead20_ncl3_thbounds1.parquet,0.8453374549201442,0.8413621262458472,0.8126447255883482,0.8581335446800079,0.8497798972853998,0.8279982927870253,0.8436048312170951,0.8407272727272728
23,ETC_Qboard_results/ETC_nq50_iahead10_ncl20_thbounds0.parquet,0.7628497183027162,0.7628497183027162,0.7489201591185243,0.7651248681643351,0.7612291766154822,0.7553634699996107,0.7627124415197045,0.763008985085954
24,ETC_Qboard_results/ETC_nq30_iahead10_ncl3_thbounds0.parquet,0.8049519959575543,0.8053612071145578,0.7687828128749442,0.80778755016651,0.7941582150101419,0.7804764128911724,0.8050219076508258,0.8064325010579773
25,ETC_Qboard_results/ETC_nq15_iahead20_ncl3_thbounds0.parquet,0.84557535798908,0.8416026572555533,0.8127424584265852,0.8582466567607726,0.8498853736817973,0.8280983270740868,0.8439628482972135,0.8409681105224889
26,ETC_Qboard_results/ETC_nq30_iahead2_ncl3_thbounds1.parquet,0.5525170219890613,0.5525170219890613,0.6872317955936119,0.566590189009068,0.6213630535555775,0.6520479090517826,0.5254396248534584,0.5519168436347378
27,ETC_Qboard_results/ETC_nq30_iahead10_ncl20_thbounds1.parquet,0.8049519959575543,0.8053612071145578,0.7687828128749442,0.8076857386848846,0.7941582150101419,0.7804764128911724,0.8050219076508258,0.8063314711359404
28,ETC_Qboard_results/ETC_nq50_iahead20_ncl5_thbounds0.parquet,0.7591437848927474,0.7591990959556255,0.749378774517711,0.762212675819771,0.7576465847561854,0.7527458212487054,0.7590884818886005,0.7594204208296924
29,ETC_Qboard_results/ETC_nq20_iahead20_ncl3_thbounds1.parquet,0.8548217528433527,0.8544376434583014,0.8003793266951164,0.8568468638161613,0.8418551438880576,0.81870765162783,0.8478926068502617,0.8528075770754808
30,ETC_Qboard_results/ETC_nq3_iahead2_ncl5_thbounds1.parquet,0.001479563528759016,0.0007403294466037385,0.6326022665066943,0.06862915868315625,0.18553164951668225,0.0620834794808839,0.0,0.0014792899408284023
31,ETC_Qboard_results/ETC_nq15_iahead10_ncl20_thbounds1.parquet,0.8433179723502304,0.8411948104193907,0.8005881205843021,0.8461841845789785,0.8391391573955864,0.8145753174974976,0.8229665071770335,0.8379118094272682
32,ETC_Qboard_results/ETC_nq20_iahead20_ncl20_thbounds1.parquet,0.8548217528433527,0.8544376434583014,0.8003793266951164,0.8568468638161613,0.8418551438880576,0.81870765162783,0.8478926068502617,0.8528075770754808
33,ETC_Qboard_results/ETC_nq3_iahead2_ncl10_thbounds0.parquet,0.001479563528759016,0.0007403294466037385,0.6326022665066943,0.06862915868315625,0.18553164951668225,0.0620834794808839,0.0,0.0014792899408284023
34,ETC_Qboard_results/ETC_nq8_iahead2_ncl5_thbounds0.parquet,0.09961685823754789,0.09961685823754789,0.5246832678025339,0.17368507291495985,0.3360022087244616,0.4758789860997547,0.08715515726585837,0.09405594405594404
35,ETC_Qboard_results/ETC_nq20_iahead2_ncl5_thbounds0.parquet,0.387609649122807,0.3810049696300386,0.6269084481896064,0.43712884069197006,0.5314401622718052,0.5982638968598631,0.37783933518005536,0.3758501040943789
36,ETC_Qboard_results/ETC_nq50_iahead10_ncl10_thbounds0.parquet,0.7628497183027162,0.7628497183027162,0.7489201591185243,0.7651248681643351,0.7612291766154822,0.7553634699996107,0.7627124415197045,0.763008985085954
37,ETC_Qboard_results/ETC_nq50_iahead10_ncl3_thbounds0.parquet,0.7628497183027162,0.7628497183027162,0.7489201591185243,0.7651248681643351,0.7612291766154822,0.7553634699996107,0.7627124415197045,0.763008985085954
38,ETC_Qboard_results/ETC_nq50_iahead10_ncl5_thbounds0.parquet,0.7628497183027162,0.7628497183027162,0.7489201591185243,0.7651248681643351,0.7612291766154822,0.7553634699996107,0.7627124415197045,0.763008985085954
39,ETC_Qboard_results/ETC_nq20_iahead10_ncl3_thbounds0.parquet,0.8344113842173352,0.8345230369889681,0.7777609612303649,0.8344789151031023,0.8228521587440034,0.80324274521772,0.8348453990001852,0.8344014117209992
40,ETC_Qboard_results/ETC_nq15_iahead20_ncl5_thbounds1.parquet,0.8453374549201442,0.8413621262458472,0.8126447255883482,0.8581335446800079,0.8497798972853998,0.8279982927870253,0.8436048312170951,0.8407272727272728
41,ETC_Qboard_results/ETC_nq50_iahead2_ncl10_thbounds1.parquet,0.664887582209986,0.664946751754696,0.7214379003669382,0.6636937231879778,0.692920488244477,0.7085665246183798,0.6647080458705547,0.6609764228380113
42,ETC_Qboard_results/ETC_nq50_iahead2_ncl5_thbounds1.parquet,0.664887582209986,0.664946751754696,0.7214379003669382,0.6636937231879778,0.692920488244477,0.7085665246183798,0.6647080458705547,0.6609764228380113
43,ETC_Qboard_results/ETC_nq30_iahead10_ncl5_thbounds1.parquet,0.8049519959575543,0.8053612071145578,0.7687828128749442,0.8076857386848846,0.7941582150101419,0.7804764128911724,0.8050219076508258,0.8063314711359404
44,ETC_Qboard_results/ETC_nq5_iahead2_ncl20_thbounds0.parquet,0.006999447412046418,0.004798818752307124,0.6199235112001457,0.035315315315315315,0.21775801257475846,0.0051660516605166054,0.0,0.005900792919048497
45,ETC_Qboard_results/ETC_nq20_iahead2_ncl10_thbounds1.parquet,0.387609649122807,0.3810049696300386,0.6269084481896064,0.43712884069197006,0.5314401622718052,0.5982638968598631,0.37783933518005536,0.3758501040943789
46,ETC_Qboard_results/ETC_nq3_iahead20_ncl10_thbounds1.parquet,0.3238803657213699,0.31009690528290085,0.7592149353757779,0.5457627118644067,0.698011644512798,0.4397142857142857,0.004803251431738408,0.3090397247419456
47,ETC_Qboard_results/ETC_nq50_iahead2_ncl20_thbounds1.parquet,0.664887582209986,0.664946751754696,0.7214379003669382,0.6636937231879778,0.692920488244477,0.7085665246183798,0.6647080458705547,0.6609764228380113
48,ETC_Qboard_results/ETC_nq30_iahead2_ncl20_thbounds1.parquet,0.5525170219890613,0.5525170219890613,0.6872317955936119,0.566590189009068,0.6213630535555775,0.6520479090517826,0.5254396248534584,0.5519168436347378
49,ETC_Qboard_results/ETC_nq20_iahead10_ncl5_thbounds1.parquet,0.8344113842173352,0.8345230369889681,0.7777609612303649,0.8344789151031023,0.8228521587440034,0.80324274521772,0.8347375243033053,0.8344014117209992
50,ETC_Qboard_results/ETC_nq30_iahead20_ncl20_thbounds1.parquet,0.8245811343250683,0.824837727592953,0.7771161927266037,0.8271341753359497,0.8115832289911197,0.7912802573733456,0.8245518367865027,0.8250257820556892
51,ETC_Qboard_results/ETC_nq50_iahead20_ncl3_thbounds1.parquet,0.7592544150789967,0.7593097422646231,0.7494320277373705,0.7622685852479903,0.7576663701822184,0.7527458212487054,0.7591990959556255,0.7595311316649404
52,ETC_Qboard_results/ETC_nq20_iahead2_ncl3_thbounds1.parquet,0.387609649122807,0.3810049696300386,0.6269084481896064,0.43712884069197006,0.5314401622718052,0.5982638968598631,0.37783933518005536,0.3758501040943789
53,ETC_Qboard_results/ETC_nq15_iahead20_ncl20_thbounds0.parquet,0.84557535798908,0.8416026572555533,0.8127424584265852,0.8582466567607726,0.8498853736817973,0.8280983270740868,0.8439628482972135,0.8409681105224889
54,ETC_Qboard_results/ETC_nq5_iahead2_ncl5_thbounds1.parquet,0.006999447412046418,0.004798818752307124,0.6199235112001457,0.035315315315315315,0.21775801257475846,0.0051660516605166054,0.0,0.005900792919048497
55,ETC_Qboard_results/ETC_nq3_iahead20_ncl5_thbounds0.parquet,0.3280259700108208,0.31378665003119155,0.7570632327503364,0.5441253263707572,0.6981754231699274,0.4415584415584416,0.006276536828502862,0.3122073056509522
56,ETC_Qboard_results/ETC_nq50_iahead10_ncl5_thbounds1.parquet,0.7628497183027162,0.7628497183027162,0.7489201591185243,0.7651248681643351,0.7612291766154822,0.7553634699996107,0.7627124415197045,0.763008985085954
57,ETC_Qboard_results/ETC_nq20_iahead10_ncl10_thbounds1.parquet,0.8344113842173352,0.8345230369889681,0.7777609612303649,0.8344789151031023,0.8228521587440034,0.80324274521772,0.8347375243033053,0.8344014117209992
58,ETC_Qboard_results/ETC_nq15_iahead2_ncl3_thbounds1.parquet,0.279926896131587,0.2786585365853659,0.5922975377145656,0.3434516175003563,0.4485074626865672,0.5468873927780218,0.28071243720505407,0.2527626459143969
59,ETC_Qboard_results/ETC_nq15_iahead20_ncl10_thbounds0.parquet,0.84557535798908,0.8416026572555533,0.8127424584265852,0.8582466567607726,0.8498853736817973,0.8280983270740868,0.8439628482972135,0.8409681105224889
60,ETC_Qboard_results/ETC_nq20_iahead10_ncl3_thbounds1.parquet,0.8344113842173352,0.8345230369889681,0.7777609612303649,0.8344789151031023,0.8228521587440034,0.80324274521772,0.8347375243033053,0.8344014117209992
61,ETC_Qboard_results/ETC_nq30_iahead20_ncl5_thbounds1.parquet,0.8245811343250683,0.824837727592953,0.7771161927266037,0.8271341753359497,0.8115832289911197,0.7912802573733456,0.8245518367865027,0.8250257820556892
62,ETC_Qboard_results/ETC_nq50_iahead20_ncl20_thbounds1.parquet,0.7592544150789967,0.7593097422646231,0.7494320277373705,0.7622685852479903,0.7576663701822184,0.7527458212487054,0.7591990959556255,0.7595311316649404
63,ETC_Qboard_results/ETC_nq30_iahead10_ncl3_thbounds1.parquet,0.8049519959575543,0.8053612071145578,0.7687828128749442,0.8076857386848846,0.7941582150101419,0.7804764128911724,0.8050219076508258,0.8063314711359404
64,ETC_Qboard_results/ETC_nq50_iahead10_ncl3_thbounds1.parquet,0.7628497183027162,0.7628497183027162,0.7489201591185243,0.7651248681643351,0.7612291766154822,0.7553634699996107,0.7627124415197045,0.763008985085954
65,ETC_Qboard_results/ETC_nq8_iahead2_ncl5_thbounds1.parquet,0.09961685823754789,0.09961685823754789,0.5246832678025339,0.17368507291495985,0.3360022087244616,0.4758789860997547,0.08715515726585837,0.09405594405594404
66,ETC_Qboard_results/ETC_nq5_iahead2_ncl10_thbounds1.parquet,0.006999447412046418,0.004798818752307124,0.6199235112001457,0.035315315315315315,0.21775801257475846,0.0051660516605166054,0.0,0.005900792919048497
67,ETC_Qboard_results/ETC_nq3_iahead10_ncl3_thbounds0.parquet,0.15931914893617022,0.1590870379833078,0.5761471957437375,0.3364569388665774,0.47286226318484387,0.5726381461675579,0.17237308146399055,0.11649808161841646
68,ETC_Qboard_results/ETC_nq30_iahead2_ncl5_thbounds1.parquet,0.5525170219890613,0.5525170219890613,0.6872317955936119,0.566590189009068,0.6213630535555775,0.6520479090517826,0.5254396248534584,0.5519168436347378
